GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309347057,311721632,314112078,316497531,318857056
0100000US,,United States,01000C0US,,United States - In metropolitan statistical area,In metropolitan statistical area,262452132,262464443,263042209,265420613,267863537,270277514,272667942
0100000US,,United States,310M200US10180,10180,"United States - Abilene, TX Metro Area","Abilene, TX Metro Area",165252,165252,165642,166637,167529,167452,168592
0100000US,,United States,310M200US10420,10420,"United States - Akron, OH Metro Area","Akron, OH Metro Area",703200,703207,702967,702881,702203,703210,703825
0100000US,,United States,310M200US10500,10500,"United States - Albany, GA Metro Area","Albany, GA Metro Area",157308,157500,157663,157791,157355,155790,154925
0100000US,,United States,310M200US10540,10540,"United States - Albany, OR Metro Area","Albany, OR Metro Area",116672,116672,116871,118117,118360,118644,119356
0100000US,,United States,310M200US10580,10580,"United States - Albany-Schenectady-Troy, NY Metro Area","Albany-Schenectady-Troy, NY Metro Area",870716,870720,870954,872966,875270,878479,880167
0100000US,,United States,310M200US10740,10740,"United States - Albuquerque, NM Metro Area","Albuquerque, NM Metro Area",887077,887075,889649,897091,901016,903345,904587
0100000US,,United States,310M200US10780,10780,"United States - Alexandria, LA Metro Area","Alexandria, LA Metro Area",153922,153922,154127,154419,154487,154903,154872
0100000US,,United States,310M200US10900,10900,"United States - Allentown-Bethlehem-Easton, PA-NJ Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822083,825229,827109,827044,829835
0100000US,,United States,310M200US11020,11020,"United States - Altoona, PA Metro Area","Altoona, PA Metro Area",127089,127078,127030,127175,126999,126379,125955
0100000US,,United States,310M200US11100,11100,"United States - Amarillo, TX Metro Area","Amarillo, TX Metro Area",251933,251933,252696,255988,257755,258833,259885
0100000US,,United States,310M200US11180,11180,"United States - Ames, IA Metro Area","Ames, IA Metro Area",89542,89542,89596,90896,91721,93410,94073
0100000US,,United States,310M200US11260,11260,"United States - Anchorage, AK Metro Area","Anchorage, AK Metro Area",380821,380821,383120,388140,392431,397521,398892
0100000US,,United States,310M200US11460,11460,"United States - Ann Arbor, MI Metro Area","Ann Arbor, MI Metro Area",344791,345066,345525,349150,351301,354418,356874
0100000US,,United States,310M200US11500,11500,"United States - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118443,117760,117264,116547,115916
0100000US,,United States,310M200US11540,11540,"United States - Appleton, WI Metro Area","Appleton, WI Metro Area",225666,225666,225850,227411,228581,229869,231497
0100000US,,United States,310M200US11700,11700,"United States - Asheville, NC Metro Area","Asheville, NC Metro Area",424858,424859,425465,428436,432142,437661,442316
